Ticker,Nome,Negócios,Última (R$),Variação
PDGR3,PDG Realty,22.3,"1,48","+3,50%"
HOOT4,Hotéis Othon,21.1,"6,20","+1,97%"
PDTC3,Padtec,20.6,"1,31","+0,77%"
ALPA3,Alpargatas,20.5,"10,38","+0,00%"
BEES3,Banestes,19.1,"8,12","+0,25%"
AERI3,Aeris Energy,18.8,"3,25","-1,81%"
TASA3,Taurus,18.7,"5,05","-0,20%"
GGBR3,Gerdau,17.6,"17,47","+0,00%"
LUXM4,Trevisa,16.6,"4,50","+2,97%"
VIVR3,Viver,16.2,"0,61","-1,61%"
EALT4,Electro Aço Altona,15.8,"14,24","+5,09%"
TPIS3,Triunfo,15.2,"4,80","-0,41%"
FICT3,Fictor Alimentos,14.7,"2,08","+0,00%"
BIED3,Bioma,13.6,"3,90","-4,88%"
UNIP3,Unipar,13.4,"58,87","+1,71%"
WHRL3,Whirlpool,12,"4,29","-2,05%"
ATED3,ATOM EDUCAÇÃO E EDITORA S.A.,11.8,"2,00","-1,48%"
AZEV11,Azevedo & Travassos,11,"0,07","-12,50%"
CAMB3,Cambuci,10.6,"9,89","-0,80%"
CTAX3,Contax,10.6,"0,88","-9,28%"
BRSR3,Banrisul,10.5,"16,70","-0,60%"
ENGI4,Energisa,10.3,"8,65","-0,35%"
ALUP4,Alupar,10.1,"10,12","+0,10%"
WHRL4,Whirlpool,9.9,"4,65","+0,00%"
JFEN3,João Fortes,9.5,"0,96","-3,03%"
AGXY3,AgroGalaxy,9.3,"4,40","-0,68%"
WDCN3,WDC Networks,9.2,"2,62","-0,38%"
NGRD3,Neogrid,9.1,"27,78","+0,14%"
ALUP3,Alupar,8.9,"11,90","+0,42%"
BEES4,Banestes,8.7,"8,12","-0,12%"
CGRA4,Grazziotin,8,"27,30","+3,45%"
BPAC5,Banco BTG Pactual,7.8,"11,19","+0,54%"
FHER3,Fertilizantes Heringer,7.7,"4,35","+2,59%"
BPAC3,Banco BTG Pactual,7.2,"38,90","+5,11%"
RPAD6,Alfa Holdings,6.9,"4,50","-10,00%"
CEBR6,CEB,6.2,"29,00","-0,45%"
OIBR4,Oi,6,"2,03","-0,98%"
BRKM3,Braskem,5.9,"7,98","-1,36%"
ARND3,Arandu,5.6,"0,88","-5,38%"
TELB4,Telebras,5.1,"7,77","-2,75%"
PTNT4,Pettenati,5.1,"4,55","+0,00%"
PINE3,Banco Pine,5,"13,00","+4,84%"
COCE5,Coelce,4.8,"33,90","-0,26%"
EQPA3,Equatorial Energia Pará,4.8,"6,11","+2,00%"
EMAE4,EMAE,4,"43,50","-2,66%"
RPMG3,Refinaria de Manguinhos,4,"2,09","+0,48%"
