Raz„o Social;Fundo;CÛdigo
CENU - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CENU;CENU
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII CEO CYRELA COMMERCIAL PROPERTIES RESPONSABILIDADE LIMITADA;FII CEO CCP;CEOC
CF2 FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CF2;CFHI
CF3  FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII CF3 IMOB;CFII
CIX RETROFIT FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CIXF;CIXF
CIX MUIRAQUITAN FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CIXM;CIXM
CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII CJCTOWER;CJCT
CLAVE ÕNDICES DE PRE«OS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CLAVE IN;CLIN
CITLOG SUL DE MINAS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII CLSM;CLSM
CENESP FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CENESP;CNES
CAPIT¬NIA LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII;FII CPLG;CPLG
CAPIT¬NIA OFFICE FII - FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII CPOF;CPOF
CAPIT¬NIA SHOPPINGS FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII CPSH;CPSH
CAPIT¬NIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CAPI SEC;CPTS
CAPIT¬NIA HBC RENDA URBANA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE  LIMITADA;FII CPHBC UR;CPUR
CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILI¡RIO II RESPONSABILIDADE LIMITADA;FII CX RBRA2;CRFF
COSMIC FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII COSMIC;CSMC
CENTRO T XTIL INTERNACIONAL FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII C TEXTIL;CTXT
FUNDO DE INVESTIMENTO IMOBILI√ÅRIO - VBI CRI;FII VBI CRI;CVBI
CATUAÕ VISTA FL FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII CVFL;CVFL
CVPAR FUNDO DE INVESTIMENTO IMOBILI¡RIO DE CRI RESPONSABILIDADE LIMITADA;FII CVPAR;CVPR
FUNDO DE INVESTIMENTO IMOBILI¡RIO CAIXA AG NCIAS - RESPONSABILIDADE LIMITADA;FII CAIXA AG;CXAG
FUNDO DE INVESTIMENTO IMOBILI¡RIO CAIXA CEDAE RESPONSABILIDADE LIMITADA;FII CX CEDAE;CXCE
FUNDO DE INVESTIMENTO IMOBILI¡RIO CAIXA CARTEIRA IMOBILI¡RIA RESPONSABILIDADE LIMITADA;FII CAIXA CI;CXCI
CAIXA IM”VEIS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII CEF CORP;CXCO
CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;FII CX RBRAV;CXRI
FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA SEQ LOGISTICA RENDA RESPONSABILIDADE LIMITADA;FII CX TRX;CXTL
